Dates;PETR4 BZ Equity;VALE3 BZ Equity;ITUB4 BZ Equity;BBDC4 BZ Equity;SUZB3 BZ Equity;CYRE3 BZ Equity;EMBR3 BZ Equity;SOMA3 BZ Equity;SMFT3 BZ Equity;JBSS3 BZ Equity;GGBR4 BZ Equity;CPLE6 BZ Equity;RENT3 BZ Equity;IBOV Index
15/12/2023;0,002262444;0,006247474;-0,004268299;0,009806828;0,004188887;-0,029641076;-0,001256019;-0,044772821;0,001965796;-0,010484474;-0,010278639;0;-0,019637062;-0,00494172
18/12/2023;0,012352768;0,004727503;0,004876572;0,007434978;-0,001521202;0,032516412;-0,020741484;-0,005925943;-0,009471263;-0,001687764;0,013290767;-0,003025721;0,005140355;0,00678751
19/12/2023;0,011374793;0,006982706;0,000607903;0;0,007960618;-0,003698381;-0,027755468;0,032166516;-0,012368001;0,022547928;-0,024981944;0,013045845;-0,00031173;0,005834773
20/12/2023;0,003579792;-0,00321673;-0,010384944;-0,016662264;0,017404762;-0,011594333;-0,011944402;0,010021558;0,009588567;0,033295808;-0,00829227;-0,001996009;-0,017867729;-0,007970419
21/12/2023;0,000274839;0,032750847;0,006731972;0,000579207;0,010152371;-0,009625519;0,007095373;0,052716782;0,008709477;-0,008824766;0,027292142;0,010929071;0,020669811;0,010478517
22/12/2023;0,009572068;-0,007563938;0,015734061;-0,025807884;0,008958831;0,018333847;0,004849029;0,008075414;0,014090253;0,002012478;0,010610179;0,005911347;-0,000155465;0,004309895
25/12/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26/12/2023;0,015931213;0,003528262;0,010155404;0,002966481;0,005083526;-0,002480365;-0,009721685;-0,012137708;0,008128553;0,005213567;-0,00208254;0,011718884;-0,004972072;0,005858308
27/12/2023;0,00080332;0,009606721;0,006811814;0,005906692;0,00595831;-0,003316753;0,006197452;0,022804476;0,00346354;-0,00040008;-0,003004458;0,004842624;-0,008363129;0,004936388
28/12/2023;-0,003217161;-0,002587324;0,002652912;0,006457316;0,001439108;0;-0,011986825;-0,01200815;0;-0,003206416;0,009744291;0,000965717;0;-6,31942E-05
29/12/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/01/2024;0,01439641;-0,001944895;-0,013335507;-0,020095239;-0,008847218;-0,039818899;-0,016663299;-0,039704051;-0,047197119;0,01038348;-0,009744291;-0,020478531;-0,037485227;-0,011155688
03/01/2024;0,030755617;-0,005204956;-0,011099559;0;0,005606308;-0,017437233;-0,021111385;0,051712201;0,020331575;-0,028204932;-0,011077036;-0,006920443;-0,005889946;0,001034307
04/01/2024;-0,008506302;-0,013528807;-0,00665862;-0,01382649;-0,015264698;-0,036726026;-0,019199841;-0,032347834;-0,030451071;-0,014406506;-0,005170108;-0,00796817;-0,021068814;-0,01217951
05/01/2024;0,002327086;-0,012910274;0,023113741;0,021557721;-0,010307472;0,0108894;0,010348164;0,066249386;0,017342641;-0,00207512;0,000414594;0,00796817;0,014481642;0,006055202
08/01/2024;-0,007517858;-0,005103422;-0,01073996;-0,007731231;0,012867825;0,027594096;0,014402107;0,04020642;0,036510434;-0,005415552;0,008615628;-0,002980628;0,037308965;0,003052533
09/01/2024;-0,008624122;-0,0127373;-0,00060006;-0,02723315;-0,012312937;-0,002637364;-0,004159932;-0,009901071;-0,0038625;0,00250313;-0,053656354;0,01677395;-0,009443183;-0,007427467
10/01/2024;-0,009228806;-0,01511433;-0,000900766;-0,017327166;-0,005748741;0,005705523;0,033252893;0,02092384;-0,01246122;0,011599136;-0,030263658;-0,002939738;0,012613616;-0,004617076
11/01/2024;0,008441095;0,005247181;0,001800721;-0,005006268;0,007226938;0,003930994;-0,018996501;-0,027162164;-0,005107063;-0,004954593;-0,01310222;-0,003933142;-0,032083819;-0,001471109
12/01/2024;0,002623296;-0,012751386;0,001198682;-0,008189022;-0,010766764;-0,003493453;-0,009174376;-0,018951925;0,002360347;0,022509647;0,005137626;-0,002960042;-0,000164266;0,002590772
15/01/2024;0,010684141;-0,001954762;0,001795333;0,003787883;0,005212223;0,00043735;-0,012987196;-0,031090587;-0,003937013;0,000809062;-0,001408808;0,009832921;0,002936282;0,004062654
16/01/2024;-0,012519725;-0,013083116;-0,014150469;-0,008860817;-0,017606748;-0,01942666;-0,003273325;-0,063837013;0,001182732;-0,015895994;-0,02860116;-0,011811161;-0,014818264;-0,01707666
17/01/2024;-0,005791014;-0,016706321;0,000606244;0,001905367;-0,004165884;-0,000445931;-0,002814261;0,002801122;-0,002761888;0,000821355;-0,005819722;0,00197824;0,010895821;-0,005974856
18/01/2024;-0,003967734;-0,006500565;-0,004251449;-0,005727028;-0,022451293;-0,0289613;-0,010387251;-0,025497132;-0,005149546;-0,017809541;0,012124877;-0,016941113;-0,026274555;-0,009444192
19/01/2024;-0,005314921;-0,013129291;0,002431612;-0,001916321;0,005225987;0,024042891;0,012264305;0,001433692;0,021607598;-0,007550371;0,012378382;0,003010539;0,012231799;0,002509578
22/01/2024;0,004519481;-0,004415018;-0,016529302;-0,011575692;-0,002512807;-0,002693;0,019499225;-0,037960762;-0,040854383;-0,002107482;-0,010016969;-0,012096922;-0,023248622;-0,008134968
23/01/2024;0,012389772;0,020438668;0,004618946;-0,005188079;0,008287606;0,011173301;0,033901552;0,03509132;0,00283;0,024177918;0,017619843;0,015098425;0,008650558;0,013034348
24/01/2024;-0,007626598;0,010064787;-0,004618946;-0,0039088;-0,00442436;-0,007136516;0,010170329;-0,023256862;-0,016280376;-0,004540771;0,022799378;-0,003001503;-0,009999913;-0,003489719
25/01/2024;0,036292215;-0,022277791;-0,002162831;0,002607563;-0,000385654;0,036047859;-0,000440044;0,034685558;0,018699732;0,001240438;0,002758622;0,006989544;-0,004625514;0,002758216
